,Address,Price,Lat,Lng
115,917 N Beckley Avenue,487500,32.754503,-96.823174
116,915 N Beckley Avenue,487500,32.754369,-96.823175
117,909 N Beckley Avenue,487500,32.754247,-96.823194
118,112 W 5 th Street,487500,32.754502,-96.823483
119,4962 Fuqua Street,495000,32.80987,-96.779302
120,6218 Reiger Avenue,499000,32.808239,-96.748621
121,10619 Lakemere Drive,499900,32.875261,-96.702521
122,10548 Wyatt Street,499999,32.84858,-96.695103
123,3836 Antigua Drive,500000,32.919229,-96.849789
124,1771 McCoy Street,519000,32.796379,-96.789036
125,4060 Travis Street,525000,32.814603,-96.794611
126,4931 Jack Court,525000,32.807422,-96.776399
127,4319 Firebrick Lane,525000,32.999155,-96.835619
128,1520 San Saba Drive,535000,32.823229,-96.701029
129,118 N Winnetka Avenue,535000,32.745866,-96.841282
130,7138 Tabor Drive,549000,32.877522,-96.736913
131,6926 Vivian Avenue,549900,32.804123,-96.737317
132,7606 Kevin Drive,550000,32.982554,-96.777127
133,2055 Angelina Drive,579900,32.790663,-96.855682
134,4029 Bowser Avenue,585000,32.815187,-96.807857
135,7610 Dunoon Avenue,589900,32.979081,-96.776488
136,5227 Homer Street,599750,32.818336,-96.782991
137,7845 Blackbird Lane,649900,32.86466,-96.726851
138,818 Cordova Street,650000,32.803073,-96.742277
139,6406 La Manga Drive,659500,31.81933,-92.32986
140,2813 State Street,669000,32.796853,-96.798807
141,5616 Willow Wood Lane,674900,33.011166,-96.812351
142,8914 Santa Clara Drive,675000,32.822714,-96.706424
143,10746 Royal Springs Drive,699000,32.894507,-96.844451
144,5505 Ellsworth Avenue,729000,32.833932,-96.773713
145,8110 San Cristobal Drive,749900,32.807251,-96.71753
146,5827 Morningside Avenue,765000,32.829184,-96.766745
147,5806 Royal Crest Drive,775000,32.898729,-96.810176
148,5935 Royal Crest Drive,785000,32.89972,-96.805921
149,6122 Richmond Avenue,799000,32.815879,-96.760639
150,6243 Monticello Avenue,799000,32.826869,-96.756359
151,1 Royal Way,799000,32.894603,-96.810646
152,4228 Glenaire Drive,815000,32.895267,-96.836623
153,4612 Live Oak Street,825000,32.800633,-96.774348
154,6882 Avalon Avenue,829500,32.818011,-96.740335
155,5334 Morningside Avenue,840000,32.828841,-96.778177
156,5301 Merrimac Avenue,869900,32.8276,-96.779735
157,6664 Yosemite Lane,895000,32.837383,-96.745433
158,9231 Moss Haven Drive,895000,32.8927,-96.744621
159,3739 Vinecrest Drive,899000,32.89845,-96.854311
160,4748 Hallmark Drive,940000,32.905113,-96.824904
161,8510 Catawba Road,974900,32.857439,-96.835062
162,7602 Roper Street,1095000,32.848541,-96.829754
163,7007 Inwood Road,1100000,32.842683,-96.821961
164,16118 Ranchita Drive,1119000,32.968937,-96.799907
165,16208 Ranchita Drive,1150000,32.969496,-96.799556
166,14140 Valley Creek Drive,1195000,32.941749,-96.778976
167,2119 Madera Street,1320000,32.813767,-96.776043
168,22 Vanguard Way,1399000,32.903054,-96.763533
169,6506 Barnsbury Court,1425000,32.979272,-96.794866
170,6725 Gaston Avenue,1500000,32.816654,-96.745484
171,7021 Stone Meadow Drive,1695000,32.915337,-96.783025
172,6711 Aberdeen Avenue,1850000,32.882492,-96.789538
173,112 W 5th Street,1950000,32.754502,-96.823483
174,6630 Northport Drive,2150000,32.890104,-96.79023
175,7219 Marquette Street,2200000,32.861592,-96.782039
176,6823 Northport Drive,2990000,32.890697,-96.787425
177,4110 Cochran Chapel,3195000,32.860136,-96.841678
178,1747 Leonard Street,3950000,32.789716,-96.796869
179,2060 Echo Lake Drive,97000,32.678918,-96.613333
180,6646 E Lovers LN 1501,99900,32.854126,-96.746062
181,5325 Bent Tree Forest Drive,119000,32.965458,-96.8182
182,8555 Fair Oaks Crossing,150000,32.896011,-96.72844
183,10427 Benbrook Drive,154500,32.836583,-96.669091
184,13753 Biggs Street,155000,32.680785,-96.592005
185,4777 Cedar Springs Road,160000,32.818471,-96.82138
186,5300 Keller Springs Road,160000,32.967637,-96.816537
187,1945 New Haven Drive,164900,32.746263,-96.646928
188,9222 Church Road,179900,32.885031,-96.732607
189,11302 Castolon Drive,180000,32.848728,-96.677874
190,150 Buttercup Lane,180000,33.547837,-85.175921
191,1337 Kingsley Drive,181900,32.684858,-96.802634
192,14277 Preston Road,185000,32.943501,-96.804582
193,3883 Turtle Creek Boulevard,195000,32.815585,-96.799389
194,5757 E University Boulevard,195000,32.84669,-96.768683
195,4605 Cedar Springs Road,205000,32.817012,-96.820299
196,9202 Firelog Lane,205000,32.922051,-96.737636
197,7616 Texridge Drive,209000,32.656176,-96.823803
198,11812 Flamingo Lane,215000,32.856335,-96.677469
199,9721 Smokefeather Lane,220000,32.920941,-96.738452
200,10938 Desdemona Drive,225000,32.846163,-96.678518
201,4031 Holland Avenue,232500,32.815869,-96.807056
202,7702 Ike Avenue,234900,32.653749,-96.821945
203,2436 Oak Dale Road,239900,32.676182,-96.781097
204,4242 Buena Vista Street,240000,32.818763,-96.793797
205,6903 Sammy Circle,245000,32.665117,-96.885884
206,6131 Lewisburg Lane,249900,32.672669,-96.889833
207,9963 Constance Street,250000,32.87869,-96.860029
208,9209 Sweetwater Drive,250000,32.810805,-96.690283
209,3139 Dusty Oak Drive,259900,32.766495,-96.668087
210,9246 Emberglow Lane,260000,32.916552,-96.736977
211,4920 Hollow Ridge Road,269700,32.780134,-96.705016
212,9408 Thornberry Lane,299900,32.86364,-96.846376
213,1511 Matagorda Drive,300000,32.674011,-96.844878
214,1323 Saint Joseph Street,310000,34.05013,-77.893075
215,6314C Bandera Avenue,315000,32.867211,-96.797707
216,6211 W Northwest Highway,317000,32.781179,-96.790329
217,4107 Bowser Avenue,319000,32.815637,-96.808542
218,6830 Prairie Flower Trail,319000,32.778342,-96.701348
219,3190 Lockmoor Lane,325000,32.878766,-96.871528
220,2427 Catherine Street,329500,32.738437,-96.857982
221,4325 Bowser Avenue,329900,32.818138,-96.811473
222,2710 Kimsey Drive,350000,32.824799,-96.83661
223,4017 Buena Vista Street,355000,32.814111,-96.796887
224,7603 Kenwell Street,374900,32.848547,-96.827705
225,1725 Bennett Avenue,374900,32.807569,-96.776467
226,3251 Leahy Drive,375000,32.896376,-96.867622
227,2812 Alden Avenue,375000,32.741953,-96.866087
228,1529 Seegar Street,379900,32.768817,-96.787088
229,9612 Ferndale Road,389000,32.877146,-96.708197
230,3847 Stockton Lane,389000,32.999692,-96.847248
231,1500 Pecos Street,390000,32.79626,-96.784572
232,2638 Alco Avenue,400000,32.746539,-96.861967
233,6226 La Cosa Drive,407800,31.81933,-92.32986
234,3227 Citation Drive,415000,32.883196,-96.868
235,3715 Valley Ridge Road,415000,32.877831,-96.855452
236,2323 N Houston Street,425000,32.785836,-96.809111
237,409 S Rosemont Avenue,430000,32.74156,-96.848232
238,1914 Euclid Avenue,448000,32.813479,-96.773356
239,1823 Naylor Street,450000,32.832078,-96.686837
240,2015 Kidwell Street,450000,32.81491,-96.754457
241,3024 Zenia Drive,451000,32.79528,-96.79164
242,10426 Royalwood Drive,455000,32.883447,-96.704956
243,2828 Hood Street,469900,32.805223,-96.809067
244,3924 Belton Drive,475000,33.001644,-96.845323
245,7036 Winchester Street,475000,32.8624,-96.74073
246,6907 Middle Cove Drive,475000,32.970566,-96.788501
247,6035 Ellsworth Avenue,479900,32.834332,-96.762682
248,6054 Winton Street,495000,32.835463,-96.761902
249,7952 Minglewood Lane,499000,32.889032,-96.761476
250,6558 Laurel Valley Road,500000,32.96649,-96.794061
251,2411 N Hall Street,507000,32.800233,-96.795408
252,2417 Thatcher Drive,515000,32.813827,-96.779925
253,5331 Holland Avenue,520000,32.82763,-96.820472
254,3390 Northaven Road,525000,32.90162,-96.863576
255,2217 Annex Avenue,535000,32.807389,-96.783453
256,3999 Goodfellow Drive,545000,32.909199,-96.843646
257,4030 Travis Street,550000,32.81391,-96.794869
258,2411 Hall Street,560000,32.800233,-96.795408
259,10006 Milltrail Drive,589900,32.891179,-96.714903
260,4211 Rawlins Street,595000,32.814675,-96.812017
261,9634 Shoreview Road,599000,32.865262,-96.720611
262,5120 Vandelia Street,614700,32.822031,-96.822495
263,6726 Crestland Avenue,615950,32.989692,-96.787475
264,7103 Nicki Court,649900,32.994869,-96.780979
265,6811 Ledyard Drive,649950,32.978096,-96.790021
266,7331 Roundrock Road,674900,32.956834,-96.780143
267,4914 Reiger Avenue,689000,32.796375,-96.763943
268,4222 Meadowdale Lane,699000,32.889866,-96.83741
269,11727 Welch Road,699000,32.908901,-96.829976
270,5522 W Amherst Avenue,714900,32.851931,-96.818112
271,4408 Mill Run Road,724900,32.923816,-96.834085
272,3911 Gilbert Avenue,784900,32.815303,-96.804505
273,6538 Trammel Drive,815000,32.845292,-96.747781
274,7121 Lakehurst Avenue,840000,32.884675,-96.781519
275,4324 Twin Post Road,859000,32.919176,-96.835589
276,6159 Ellsworth Avenue,899000,32.834334,-96.75905
277,9610 Lanshire Drive,899900,32.868162,-96.720094
278,5926 Flintshire LN,925000,33.003317,-96.804402
279,5926 Flintshire Lane,925000,33.003317,-96.804402
280,12526 Sunlight Drive,975000,32.919255,-96.801386
281,7127 Casa Loma Avenue,995000,32.812144,-96.734163
282,3401 Lee Parkway,999999,32.809908,-96.804427
283,2700 Thomas Avenue,1050000,32.795427,-96.798116
284,9535 Fieldcrest Drive,1050000,32.876039,-96.722084
285,6217 Ellsworth Avenue,1135000,32.83404,-96.757493
286,7139 Midcrest Drive,1175000,32.946882,-96.780765
287,5327 Vanderbilt Avenue,1265900,32.82477,-96.778758
288,11316 Valleydale Drive,1275000,32.903486,-96.772275
289,13 Lakeside Park,1295000,32.860017,-96.771941
290,4719 Junius Street,1400000,32.798157,-96.770202
291,6323 Royalton,1495000,32.781179,-96.790329
292,5922 Joyce Way,1525000,32.878499,-96.805783
293,4129-4133 Herschel Avenue,1875000,32.820965,-96.80557
294,4129-33 Herschel Avenue,1875000,32.820966,-96.805692
295,5510 Lindenshire Lane,2049000,32.912378,-96.814171
296,2430 Victory Park Lane,2100000,32.78779,-96.808977
297,4420 Ridge Road,2199000,32.883177,-96.833654
298,1810 N Garrett Avenue,95000,32.809049,-96.775039
299,4228 Copeland Street,99000,32.770841,-96.744032
300,11655 Audelia Road,110000,32.907828,-96.718881
301,5550 Spring Valley,112000,32.938982,-96.81258
302,4859 Cedar Springs Road,124900,32.819319,-96.822539
303,2915 Marburg Street,140500,32.758689,-96.752879
304,4748 Old Bent Tree Lane,149990,33.001202,-96.827357
305,15221 Berry Trail,155000,32.954166,-96.801614
306,15909 Stillwood Drive,155000,32.965357,-96.806046
307,11348 Park Central Place,165000,32.904804,-96.770896
308,2245 E Overton Road,173900,32.708051,-96.792481
309,1310 Mentor Avenue,199000,32.688919,-96.805313
310,2529 Fenwick Drive,204900,32.84219,-96.669706
311,7311 Hardwood Trail,209900,32.63706,-96.95016
312,9419 Eddy Sass Court,210000,32.775465,-96.661344
313,4414 Cedar Springs Road,217000,32.815604,-96.816429
314,4000 Hamilton Avenue,225000,32.773984,-96.7518
315,9129 Laneyvale Avenue,229000,32.727485,-96.66228
316,2668 Healey Drive,229000,32.824868,-96.668316
317,2730 Emmett Street,279000,32.732711,-96.864954
318,11333 Dumbarton Drive,280000,32.849622,-96.654186
319,13216 Meandering Way,289900,32.928288,-96.774573
320,5132 Westgrove,295000,32.781179,-96.790329
321,7130 Rolling Fork Drive,298000,32.790802,-96.690053
322,2970 Sundial Drive,299000,32.901004,-96.878447
323,130 Appian Way,315000,32.730571,-96.8212
324,2512 Springhill Drive,324900,32.814302,-96.697175
325,12323 High Meadow Drive,325000,32.916009,-96.859111
326,1318 Melbourne Avenue,325000,32.723035,-96.844112
327,4310 Rosser Square,335000,32.920653,-96.84535
328,2415 Stutz Drive,335000,32.822317,-96.839391
329,2030 Trinidad Drive,335987,32.672868,-96.851782
330,3236 Tower Trail,340000,32.905439,-96.86888
331,6735 Webster Street,344900,32.840753,-96.833517
332,406 S Montreal Avenue,350000,32.742044,-96.853795
333,4123 Lawngate Drive,350000,33.003239,-96.839931
334,3908 Kiestmeadow Drive,359900,32.709388,-96.884244
335,874 Peavy Road,365000,32.845412,-96.705817
336,1402 Seevers Avenue,389000,32.730395,-96.821302
337,10638 Sandpiper Lane,389999,32.891016,-96.779469
338,928 Stillmeadow Road,394950,32.675144,-96.838558
339,2529 Fenestra Drive,395000,32.806151,-96.698154
340,2220 Canton Street,415000,32.780183,-96.788467
341,3511 Dickason Avenue,435000,32.805968,-96.807404
342,1826 Mapleton Drive,439000,32.822542,-96.684761
343,5030 Pershing Street,449000,32.817652,-96.786686
344,7209 Bennington Drive,450000,32.851067,-96.739078
345,634 Bizerte Avenue,469000,32.726521,-96.833486
346,6024 Victor Street,475000,32.807247,-96.752033
347,628 Blanning Drive,489000,32.851879,-96.705927
348,418 S Willomet Avenue,490000,32.741755,-96.840167
349,3957 High Summit Drive,499000,32.919006,-96.847686
350,7714 Caillet Street,500000,32.849965,-96.824513
351,4411 Sexton Lane,515000,32.887045,-96.834165
352,4924 Forest Bend Road,549000,32.922838,-96.824268
353,5605 Northaven Road,549000,32.902525,-96.811526
354,12231 Snow White Drive,552000,32.915576,-96.843544
355,1066 N Buckner Boulevard,559000,32.8365,-96.704411
356,8711 San Leandro Drive,575000,32.81878,-96.70513
357,7631 Meadow Road,616900,32.886758,-96.775341
358,4725 Manett Street,619000,32.811887,-96.785154
359,7943 Xavier Court,639000,32.807127,-96.722809
360,6135 Belmont Avenue,675000,32.817491,-96.760169
361,8258 Vitex Avenue,690500,32.962811,-96.726826
362,8226 Vitex Avenue,700500,32.962811,-96.726826
363,8242 Vitex Avenue,720500,32.962811,-96.726826
364,8016 Cool River Drive,305000,33.146336,-96.856347
365,10005 Ashmont Drive,350000,33.110108,-96.793343
366,949 Imperial Valley Lane,430000,33.133072,-96.902123
367,12350 Flowering Drive,500000,33.179873,-96.766849
368,2079 Alcove Drive,640000,33.106488,-96.872958
369,3 Southern Hills Court,725000,33.097608,-96.842234
370,16492 Creek Plum Road,725000,32.796608,-96.954903
371,11707 Coronado Trail,769900,39.558929,-106.133183
372,4151 Castle Bank Lane,1050000,33.16393,-96.852086
373,10313 BURGUNDY Drive,295000,33.134644,-96.79166
374,9152 Apollo Court,345000,33.154037,-96.852357
375,15738 Durango Drive,350000,33.178376,-96.738276
376,9581 Magnolia Road,369900,33.155543,-96.819884
377,1692 Dowelling Court,379900,33.150839,-96.876794
378,15833 Rockingham Street,395000,33.15735,-96.9186
379,1924 Dexter Lane,423550,33.136018,-96.909514
380,11566 Caladium Lane,465000,33.173277,-96.753868
381,9629 Planters Row Drive,479000,33.15876,-96.886331
382,10196 Ferry Farm Lane,505000,33.177484,-96.791652
383,1946 Countryside Drive,520000,33.128747,-96.873776
384,5498 Balmoral Drive,530000,33.099011,-96.840274
385,8260 Fairview Drive,540000,33.157939,-96.81169
386,13761 Stallion Heights Lane,547000,33.190791,-96.776374
387,13942 Badger Creek Drive,549900,33.194335,-96.874422
388,698 Caveson Drive,570000,33.151221,-96.896234
389,15199 Mountain Creek Trail,595900,33.136842,-96.741038
390,11761 Orange Court,599900,33.175402,-96.775796
391,1745 Evening Star Road,625000,32.920435,-96.985989
392,3331 Cedar Creek Trail,625000,33.140675,-96.860353
393,11248 Tavern Creek Court,639500,33.114752,-96.78191
394,10229 Fire Ridge Drive,725000,33.164542,-96.863466
395,5627 Miramar Drive,725000,33.100117,-96.839022
396,12858 Palo Duro Drive,749000,33.185024,-96.842612
397,5951 Beacon Hill Drive,775000,33.127983,-96.881347
398,13272 Ignatius Drive,785000,33.135091,-96.762804
399,12977 Railhead Court,869900,33.186301,-96.853819
400,4171 Mission Avenue,909000,33.142295,-96.852491
401,5111 Stillwater Trail,925000,33.120651,-96.842765
402,5125 Normandy Drive,1099000,33.111368,-96.843326
403,12262 Genova Court,1100000,33.179841,-96.799036
404,7 Harbour Town Court,1200000,33.096489,-96.843536
